BEnh,h,d,R,P0,Nb,a
-27.52591992,1,25,830050,0.008550949,1016,2
-27.52563637,1,40,900050,0.012585185,749,2
-27.52015008,1,55,970050,0.016659104,610,2
-27.51619394,1,15,780050,0.005757357,1419,2
-27.51203978,1,45,920050,0.013892719,693,2
-27.51104393,1,30,850050,0.009877416,902,2
-27.50483243,1,60,990050,0.017995798,576,2
-27.49852505,1,50,940050,0.015209417,647,2
-27.4978199,1,35,870050,0.011184764,815,2
-27.49550604,1,20,800050,0.007142003,1173,2
-27.49243396,1,10,750050,0.004246959,1849,2
-27.48545328,1,40,890050,0.012489704,747,2
-27.48484702,1,55,960050,0.016532724,608,2
-27.47978567,1,25,820050,0.008482208,1013,2
-27.47342708,1,45,910050,0.013786978,691,2
-27.47083574,1,60,980050,0.017873544,575,2
-27.46684649,1,30,840050,0.009791831,898,2
-27.4650154,1,15,770050,0.005706049,1413,2
-27.46139391,1,50,930050,0.015093347,645,2
-27.45543118,1,35,860050,0.011092851,812,2
-27.44911683,1,55,950050,0.016406258,606,2
-27.44663439,1,20,790050,0.007081829,1169,2
-27.44476104,1,40,880050,0.012386125,744,2
-27.43795584,1,10,740050,0.00420816,1841,2
-27.43643313,1,60,970050,0.017736563,573,2
-27.43433099,1,45,900050,0.013681107,689,2
-27.43303662,1,25,810050,0.0084093,1009,2
-27.42380368,1,50,920050,0.014977166,643,2
-27.423231,1,65,990050,0.019075115,544,2
-27.42206777,1,30,830050,0.009711404,895,2
-27.41312796,1,15,760050,0.005654658,1407,2
-27.41295019,1,55,940050,0.016292416,605,2
-27.41249225,1,35,850050,0.011000836,809,2
-27.40354729,1,40,870050,0.012290387,742,2
-27.40161503,1,60,960050,0.017599513,571,2
-27.39709482,1,20,780050,0.007018606,1164,2
-27.39474037,1,45,890050,0.013575103,687,2
-27.38969214,1,65,980050,0.018927483,542,2
-27.38574401,1,50,910050,0.01486087,641,2
-27.38565719,1,25,800050,0.008336293,1005,2
-27.38270341,1,10,730050,0.004169287,1833,2
-27.37669337,1,30,820050,0.009630853,892,2
-27.37633771,1,55,930050,0.016165713,603,2
-27.36898978,1,35,840050,0.010908717,806,2
-27.36637253,1,60,950050,0.017476817,570,2
-27.3618,1,40,860050,0.012186614,739,2
-27.36051265,1,15,750050,0.005605136,1402,2
