BEnh,h,d,R,P0,Nb,a
-0.027752042,8,25,170050,0.027670162,65,4
0.002102086,8,2,100050,0.000371448,2820,2
0.003183403,8,13,120050,0.008412154,149,4
0.003183403,8,13,120050,0.008412154,149,4
0.01445342,8,3,100050,0.000487077,2151,2
0.01445342,8,3,100050,0.000487077,2151,2
0.025464761,8,2,100050,0.000590451,1775,4
0.025464761,8,4,100050,0.000590451,1775,2
0.02744951,8,27,180050,0.032231151,58,4
0.034045493,4,32,30050,0.01129417,28,4
0.035574168,8,5,100050,0.000685546,1529,2
0.035574168,8,5,100050,0.000685546,1529,2
0.038349829,8,9,110050,0.004777074,241,4
0.04216701,2,117,10050,0.033792158,3,4
0.044035873,4,52,40050,0.028101444,15,4
0.04501711,8,6,100050,0.000774425,1353,2
0.04501711,8,6,100050,0.000774425,1353,2
