BEnh,h,d,R,P0,Nb,a
-15.200924244872908,2,40,200000,0.004438758620746543,472,2
-16.82443185149382,2,40,300000,0.0058563570378677,536,2
-17.952832933270898,2,40,400000,0.007144887778445956,587,2
-18.812088939855133,2,40,500000,0.008335359679442598,628,2
-19.50234651189803,2,40,600000,0.009465729488122201,664,2
-20.076782892680477,2,40,700000,0.010540650614271856,695,2
-20.567003665661687,2,40,800000,0.011576989099195936,723,2
-20.99331156131003,2,40,900000,0.01258478863125286,749,2
-21.369513924340545,2,40,1000000,0.013557552058491818,772,2
-23.704038916496415,2,40,2000000,0.022342853720233608,937,2
-24.935168848006107,2,40,3000000,0.030177058239733323,1041,2
-25.737488983788577,2,40,4000000,0.03751359653034399,1116,2
-26.315387172914868,2,40,5000000,0.0445550465282592,1175,2
-26.757213022267507,2,40,6000000,0.0513877909690971,1223,2
-27.108790267743693,2,40,7000000,0.0580642974481972,1263,2
-27.396748477074308,2,40,8000000,0.06462036178484831,1297,2
-27.637826606822955,2,40,9000000,0.07107289534813191,1326,2
13.736577310480829,4,20,1000,7.984672328029703e-05,131,2
10.731329922997476,4,20,2000,0.00012677898111337617,165,2
8.974653159044285,4,20,3000,0.00016623528930056753,189,2
7.729045053900016,4,20,4000,0.00020142788876410683,208,2
6.763417099734443,4,20,5000,0.0002337668779469904,224,2
5.974850052570405,4,20,6000,0.0002640258864749951,238,2
5.308450291261742,4,20,7000,0.00029235094152986496,250,2
4.731454765715597,4,20,8000,0.0003200207643993986,262,2
4.222733013371961,4,20,9000,0.0003459253879108897,272,2
3.7678586233003615,4,20,10000,0.0003713566541706189,282,2
0.7809136502964502,4,20,20000,0.0005903054619602227,355,2
-0.960453019356591,4,20,30000,0.0007743290355243279,406,2
-2.192427197685436,4,20,40000,0.0009383905358219689,446,2
-3.145550564766755,4,20,50000,0.0010897522479911459,480,2
-3.9224482893175647,4,20,60000,0.001231920905381195,510,2
-4.5778327456243515,4,20,70000,0.0013668792325485964,537,2
-5.144345297755089,4,20,80000,0.0014951026388195592,561,2
-5.643029784552769,4,20,90000,0.0016181994340815778,583,2
-6.088248032787732,4,20,100000,0.0017364091135357693,603,2
-8.992196349315815,4,20,200000,0.0027724089937089056,756,2
-10.664803127206149,4,20,300000,0.0036487121211389857,861,2
-11.836051644045185,4,20,400000,0.0044386767481741,944,2
-12.73389493638409,4,20,500000,0.005169674074831631,1013,2
-13.459560543890978,4,20,600000,0.0058589026096098765,1073,2
-14.066896767625527,4,20,700000,0.006511901069261177,1125,2
-14.587962922497574,4,20,800000,0.007141761529411482,1173,2
-15.04338686302967,4,20,900000,0.007747161166206073,1216,2
-15.44721999947271,4,20,1000000,0.008335152209729392,1256,2
-18.0046504731931,4,20,2000000,0.013561308870919839,1545,2
-19.40220943741275,4,20,3000000,0.01812587056279597,1733,2
-20.3391847725485,4,20,4000000,0.02234751914241883,1875,2
-21.030516032592914,4,20,5000000,0.026341072966779677,1988,2
-21.57032249036234,4,20,6000000,0.03017574146316796,2082,2
-22.00801693610046,4,20,7000000,0.03389614651801978,2163,2
-22.372649496755077,4,20,8000000,0.0375193278776052,2233,2
-22.6826852287807,4,20,9000000,0.04106868401006702,2295,2
19.969794236794435,8,10,1000,5.02940093308825e-05,208,2
16.962678538977407,8,10,2000,7.984662266039373e-05,262,2
15.204435944808207,8,10,3000,0.00010466494856231728,300,2
13.957431147888196,8,10,4000,0.000126778779834492,330,2
12.990520289323356,8,10,5000,0.00014724565705551056,356,2
12.200754380333436,8,10,6000,0.00016623498733303536,378,2
11.533221458642673,8,10,7000,0.00018427058836110996,398,2
10.95514627159127,8,10,8000,0.00020142748608227974,416,2
10.445389517253814,8,10,9000,0.00021799731960921295,433,2
9.989518313830855,8,10,10000,0.00023376637452763354,448,2
6.993959819466858,8,10,20000,0.0003713556467625112,564,2
5.245394477880954,8,10,30000,0.0004868428798561377,645,2
4.007014810779169,8,10,40000,0.000590303445340341,710,2
3.048020741815834,8,10,50000,0.0006851510068918693,764,2
2.265648105636589,8,10,60000,0.0007743260083322682,812,2
1.60509876357824,8,10,70000,0.0008583159984140572,854,2
1.033673890809756,8,10,80000,0.0009389103285450917,893,2
0.5302885757915792,8,10,90000,0.0010158318147069337,928,2
0.08055048056429857,8,10,100000,0.001090312094895546,961,2
-2.8621471521995274,8,10,200000,0.0017363989840314654,1206,2
-4.566719960529092,8,10,300000,0.0022823724763775476,1377,2
-5.766095822533863,8,10,400000,0.002771481876926773,1511,2
-6.6894590181400435,8,10,500000,0.003223864547406868,1624,2
-7.4387029181746325,8,10,600000,0.003648681508842633,1722,2
-8.068088067175873,8,10,700000,0.004052057384199803,1809,2
